epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,3466.13,0.79632,0.66356,1.00146,0.87991,0.793,0.87401,0.63971,0.77244,0.66513,1.00604,0.000208813,0.000208813,0.000208813
71,3515.89,0.74775,0.62659,0.99222,0.8829,0.78873,0.87575,0.63829,0.77652,0.66267,1.01408,0.000191129,0.000191129,0.000191129
72,3565.28,0.72543,0.61275,0.97698,0.87125,0.79734,0.87905,0.63939,0.77527,0.66202,1.0069,0.000173445,0.000173445,0.000173445
73,3614.72,0.72412,0.6144,0.97842,0.88293,0.79562,0.87831,0.63944,0.7757,0.66009,1.00724,0.000155761,0.000155761,0.000155761
74,3664.14,0.71786,0.60827,0.98011,0.86739,0.81432,0.88167,0.64197,0.76688,0.6594,1.00612,0.000138077,0.000138077,0.000138077
75,3713.47,0.71846,0.60693,0.97245,0.87407,0.80805,0.88099,0.64203,0.76494,0.66054,1.00432,0.000120393,0.000120393,0.000120393
76,3762.9,0.69884,0.5963,0.97005,0.86925,0.80926,0.87737,0.64408,0.75693,0.65517,1.00298,0.000102709,0.000102709,0.000102709
77,3812.37,0.70786,0.59998,0.971,0.88194,0.79787,0.88,0.64625,0.75863,0.65508,1.00337,8.50255e-05,8.50255e-05,8.50255e-05
78,3861.76,0.69363,0.598,0.96659,0.87585,0.80774,0.8806,0.64465,0.75516,0.65546,1.00032,6.73416e-05,6.73416e-05,6.73416e-05
79,3911.18,0.68984,0.59466,0.96207,0.89563,0.79492,0.88224,0.64656,0.75465,0.65348,1.00278,4.96578e-05,4.96578e-05,4.96578e-05
80,3960.53,0.68432,0.59023,0.96663,0.88834,0.79572,0.88282,0.64756,0.75351,0.65268,1.00229,3.19739e-05,3.19739e-05,3.19739e-05
